"yyyy-mm-dd","team1","team2","score1","score2"
"31/03/2013","Hacken","Goteborg","0","3"
"31/03/2013","Helsingborg","Djurgarden","3","0"
"31/03/2013","Syrianska","Kalmar","0","3"
"01/04/2013","Gefle","Atvidabergs","1","0"
"01/04/2013","Malmo FF","Halmstad","1","1"
"01/04/2013","Mjallby","Norrkoping","1","2"
"01/04/2013","Brommapojkarna","Osters","2","2"
"01/04/2013","Elfsborg","AIK","2","2"
"05/04/2013","Atvidabergs","Malmo FF","1","3"
"07/04/2013","AIK","Syrianska","0","0"
"07/04/2013","Goteborg","Brommapojkarna","2","0"
"07/04/2013","Halmstad","Elfsborg","1","1"
"07/04/2013","Kalmar","Hacken","0","0"
"08/04/2013","Djurgarden","Mjallby","0","3"
"08/04/2013","Norrkoping","Gefle","2","1"
"08/04/2013","Osters","Helsingborg","1","1"
"12/04/2013","Brommapojkarna","Norrkoping","1","0"
"13/04/2013","Syrianska","Osters","0","1"
"14/04/2013","Atvidabergs","AIK","1","0"
"14/04/2013","Malmo FF","Kalmar","1","0"
"14/04/2013","Gefle","Halmstad","2","0"
"14/04/2013","Hacken","Djurgarden","4","0"
"15/04/2013","Helsingborg","Mjallby","1","2"
"15/04/2013","Elfsborg","Goteborg","0","0"
"17/04/2013","Halmstad","Atvidabergs","0","0"
"17/04/2013","Osters","Hacken","2","0"
"17/04/2013","AIK","Malmo FF","0","1"
"18/04/2013","Djurgarden","Brommapojkarna","1","1"
"18/04/2013","Goteborg","Syrianska","2","0"
"18/04/2013","Kalmar","Elfsborg","1","1"
"18/04/2013","Mjallby","Gefle","1","0"
"18/04/2013","Norrkoping","Helsingborg","1","4"
"21/04/2013","Atvidabergs","Goteborg","1","2"
"21/04/2013","Halmstad","Kalmar","1","2"
"21/04/2013","Brommapojkarna","Helsingborg","0","2"
"21/04/2013","Hacken","Mjallby","2","0"
"22/04/2013","Gefle","AIK","1","2"
"22/04/2013","Malmo FF","Osters","2","0"
"22/04/2013","Syrianska","Norrkoping","3","1"
"22/04/2013","Elfsborg","Djurgarden","2","0"
"25/04/2013","Goteborg","Malmo FF","1","1"
"26/04/2013","Norrkoping","Hacken","4","2"
"27/04/2013","Djurgarden","Syrianska","0","1"
"27/04/2013","Helsingborg","Gefle","5","1"
"27/04/2013","Kalmar","Atvidabergs","0","0"
"28/04/2013","AIK","Halmstad","3","3"
"28/04/2013","Mjallby","Brommapojkarna","4","2"
"28/04/2013","Osters","Elfsborg","1","3"
"03/05/2013","Malmo FF","Norrkoping","1","1"
"04/05/2013","Atvidabergs","Djurgarden","5","1"
"05/05/2013","Elfsborg","Mjallby","2","1"
"05/05/2013","Halmstad","Osters","1","0"
"05/05/2013","Syrianska","Helsingborg","0","1"
"06/05/2013","Gefle","Kalmar","1","1"
"06/05/2013","Hacken","Brommapojkarna","1","0"
"06/05/2013","AIK","Goteborg","3","1"
"10/05/2013","Norrkoping","Elfsborg","1","2"
"11/05/2013","Goteborg","Halmstad","1","0"
"12/05/2013","Kalmar","AIK","2","1"
